Province,District,Sector,Cell,Village
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Gihanga
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Iterambere
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Izuba
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Nyaburanga
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Nyenyeri
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Ubukorikori
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Ubumwe
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Ubwiyunge
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Umucyo
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Umurabyo
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Umuseke
KIGALI CITY,Nyarugenge,Gitega,Akabahizi,Vugizo
KIGALI CITY,Nyarugenge,Gitega,Akabeza,Akinyambo
KIGALI CITY,Nyarugenge,Gitega,Akabeza,Amayaga
KIGALI CITY,Nyarugenge,Gitega,Akabeza,Gitwa
KIGALI CITY,Nyarugenge,Gitega,Akabeza,Ituze
KIGALI CITY,Nyarugenge,Gitega,Akabeza,Mpazi
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Amahoro
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Impuhwe
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Intsinzi
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Kivumu
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Ubumwe
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Urukundo
KIGALI CITY,Nyarugenge,Gitega,Gacyamo,Ururembo
KIGALI CITY,Nyarugenge,Gitega,Kigarama,Ingenzi
KIGALI CITY,Nyarugenge,Gitega,Kigarama,Sangwa
KIGALI CITY,Nyarugenge,Gitega,Kigarama,Umubano
KIGALI CITY,Nyarugenge,Gitega,Kigarama,Umucyo
KIGALI CITY,Nyarugenge,Gitega,Kigarama,Umuhoza
